,Changes:,Train ROC AUC,Cross-val ROC AUC,Train Accuracy,Cross-val Accuracy,Test accuracy
0,Unprocessed numeric features,0.891046002231814,0.8473673498257922,0.8300471570548155,0.7907514962373238,0.80056
1,GroupSize,0.8993301273174125,0.8544339536135768,0.8287587789112288,0.7924771417895368,
2,FamilySize,0.9005223842322416,0.8540351369781901,0.8289888067413095,0.7917871695345872,
3,- GroupSize,0.8961236644119372,0.8515554769569227,0.8293339294653724,0.7929375469460744,
4,1 + Deck_enc,0.9270332026504357,0.8771942948370662,0.8311744791974308,0.7916719093754886,0.79682
5,+ HomePlanet,0.9300205049033444,0.8807372641381713,0.8343494761519873,0.7948934745115385,
6,+ Destination,0.930903229122253,0.8824694140465152,0.8354307863772968,0.7965034627297417,
7,+ CryoSleep,0.9318071094659599,0.8825079147423244,0.8389509473392988,0.7992638283594324,
8,+ VIP,0.931490574307621,0.8825986764362553,0.8387899040409064,0.7997239952110237,
9,+ Side,0.934369959811944,0.8862050840785584,0.844196464694388,0.7993793268234777,
10,+ HasRelatives,0.934604589936128,0.88604742868393,0.8448866625078422,0.8000694579483913,0.80079
11,9 + Filled missing numerical,0.9363119800192906,0.8860909951810054,0.8422869272549969,0.7994944281126122,
